#SampleID	Var
USygt25.F.418747	male
USygt27.M.418861	female
USygt52.M.418736	female
TS4.418810	female
USygt11.F.418661	male
USygt10.M.418687	female
USygt18.M.418867	female
F4T2pre4.418418	female
USygt46.M.418453	female
USygt32.M.418562	female
USchp4Mom.418666	female
USygt15.F.418688	male
TS195.418848	female
USygt53.F.418830	male
USygt29.M.418603	female
TS111.418684	female
TS110.418428	female
TS184.418577	female
USygt8.F.418739	male
USchp18Mom.418783	female
USygt16.F.418383	male
USygt46.F.418450	male
USygt51.M.418844	female
USygt42.F.418628	male
USygt21.M.418797	female
USygt31.M.418440	female
USygt33.M.418638	female
USchp36Mom.418718	female
USygt47.F.418643	male
TS8.418379	female
TS25.418407	female
TS129.418618	female
F3T2pre4.418583	female
TS164.418396	female
USchp1Mom.418814	female
USygt19.M.418397	female
USygt41.F.418802	male
USygt37.M.418793	female
USchp3Mom.418727	female
USygt43.F.418760	male
USygt43.M.418520	female
TS127.418550	female
USygt52.F.418555	male
USchp41Mom.418801	female
USygt5.F.418630	male
TS13.418619	female
USygt15.M.418634	female
USygt14.M.418857	female
USchp33Mom.418698	female
USygt50.F.418499	male
TS194.418607	female
TS109.418691	female
USygt48.F.418551	male
TS7.418860	female
USygt44.M.418360	female
TS14.418541	female
USygt22.F.418477	male
USygt6.M.418593	female
USygt13.M.418644	female
USygt9.M.418560	female
USygt26.M.418352	female
USygt28.M.418808	female
USygt11.M.418479	female
USygt47.M.418401	female
TS193.418750	female
USygt30.F.418729	male
USchp25Mom.418780	female
USygt5.M.418357	female
F3T1pre4.418699	female
USygt2.M.418457	female
USchp60Mom.418566	female
USygt8.M.418616	female
TS1.418828	female
USygt38.F.418465	male
USygt54.F.418487	male
USygt36.M.418734	female
USygt37.F.418676	male
USygt34.F.418402	male
USygt20.F.418339	male
USygt24.M.418730	female
USygt53.M.418452	female
USygt20.M.418572	female
USygt49.F.418818	male
TS26.418393	female
USygt3.M.418496	female
USygt16.M.418462	female
TS185.418675	female
USygt54.M.418445	female
USygt27.F.418639	male
TS2.418517	female
USygt17.M.418444	female
USygt40.F.418369	male
USygt14.F.418375	male
USygt13.F.418411	male
USygt51.F.418349	male
USygt30.M.418398	female
USygt1.M.418373	female
USygt21.F.418579	male
USygt23.M.418612	female
USygt1.F.418592	male
USygt34.M.418823	female
TS128.418470	female
USygt22.M.418388	female
USygt4.M.418367	female
USygt39.F.418756	male
USygt38.M.418740	female
USygt12.M.418543	female
USygt9.F.418438	male
TS163.418636	female
USygt48.M.418794	female
USygt12.F.418502	male
TS5.418546	female
USygt40.M.418504	female
USygt42.M.418663	female
USygt4.F.418451	male
USygt23.F.418490	male
USBldAdlt6.418795	female
USygt45.M.418662	female
USygt35.M.418364	female
USygt44.F.418709	male
USygt49.M.418347	female
USygt39.M.418483	female
USygt25.M.418835	female
USygt41.M.418492	female
USygt50.M.418681	female
USchp35Mom.418515	female
F4T1pre4.418431	female
USygt45.F.418753	male
USygt7.M.418598	female
